timestamp,x,y,z,Se,H
1588892400.0,0.270000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.290000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.310000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.330000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.350000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.370000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.390000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.410000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.430000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.450000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.470000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.490000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.510000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.530000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.550000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.570000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.590000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.610000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.630000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.650000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.670000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.690000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.710000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.730000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.750000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.770000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.790000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.810000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.830000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.850000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.870000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.890000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.910000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.930000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.950000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.970000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.990000,0.510000,-0.147075,0.642384,-3.147075
1588892400.0,0.010000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.030000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.050000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.070000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.090000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.110000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.130000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.150000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.170000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.190000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.210000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.230000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.250000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.270000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.290000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.310000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.330000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.350000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.370000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.390000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.410000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.430000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.450000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.470000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.490000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.510000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.530000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.550000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.570000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.590000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.610000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.630000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.650000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.670000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.690000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.710000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.730000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.750000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.770000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.790000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.810000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.830000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.850000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.870000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.890000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.910000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.930000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.950000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.970000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.990000,0.510000,-0.186490,0.642384,-3.186490
1588892400.0,0.010000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.030000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.050000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.070000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.090000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.110000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.130000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.150000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.170000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.190000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.210000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.230000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.250000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.270000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.290000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.310000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.330000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.350000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.370000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.390000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.410000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.430000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.450000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.470000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.490000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.510000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.530000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.550000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.570000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.590000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.610000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.630000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.650000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.670000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.690000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.710000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.730000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.750000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.770000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.790000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.810000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.830000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.850000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.870000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.890000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.910000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.930000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.950000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.970000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.990000,0.510000,-0.233788,0.642384,-3.233788
1588892400.0,0.010000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.030000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.050000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.070000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.090000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.110000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.130000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.150000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.170000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.190000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.210000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.230000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.250000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.270000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.290000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.310000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.330000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.350000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.370000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.390000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.410000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.430000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.450000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.470000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.490000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.510000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.530000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.550000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.570000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.590000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.610000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.630000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.650000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.670000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.690000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.710000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.730000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.750000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.770000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.790000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.810000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.830000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.850000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.870000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.890000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.910000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.930000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.950000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.970000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.990000,0.510000,-0.290546,0.642384,-3.290546
1588892400.0,0.010000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.030000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.050000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.070000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.090000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.110000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.130000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.150000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.170000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.190000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.210000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.230000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.250000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.270000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.290000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.310000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.330000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.350000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.370000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.390000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.410000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.430000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.450000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.470000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.490000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.510000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.530000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.550000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.570000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.590000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.610000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.630000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.650000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.670000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.690000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.710000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.730000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.750000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.770000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.790000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.810000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.830000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.850000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.870000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.890000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.910000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.930000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.950000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.970000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.990000,0.510000,-0.358655,0.642384,-3.358655
1588892400.0,0.010000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.030000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.050000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.070000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.090000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.110000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.130000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.150000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.170000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.190000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.210000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.230000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.250000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.270000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.290000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.310000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.330000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.350000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.370000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.390000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.410000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.430000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.450000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.470000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.490000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.510000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.530000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.550000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.570000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.590000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.610000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.630000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.650000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.670000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.690000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.710000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.730000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.750000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.770000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.790000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.810000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.830000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.850000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.870000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.890000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.910000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.930000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.950000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.970000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.990000,0.510000,-0.440386,0.642384,-3.440386
1588892400.0,0.010000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.030000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.050000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.070000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.090000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.110000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.130000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.150000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.170000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.190000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.210000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.230000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.250000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.270000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.290000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.310000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.330000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.350000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.370000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.390000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.410000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.430000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.450000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.470000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.490000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.510000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.530000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.550000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.570000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.590000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.610000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.630000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.650000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.670000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.690000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.710000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.730000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.750000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.770000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.790000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.810000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.830000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.850000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.870000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.890000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.910000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.930000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.950000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.970000,0.510000,-0.542483,0.642384,-3.542483
1588892400.0,0.990000,0.510000,-0.542483,0.642384,-3.542483
1588896000.0,0.010000,0.510000,0.000000,0.000000,0.000000
1588896000.0,0.030000,0.510000,0.000000,0.000000,0.000000
